SchemeCode,SchemeName,Scheme_Category,Risk_Level,NAV,NAV_As_Of_Date,Valuation_Date
122715,360 ONE Dynamic Bond Fund Direct Plan Growth,Debt,Low,24.5674,2025-12-18,2025-12-19
122721,360 ONE Dynamic Bond Fund Direct Plan Monthly Dividend,Debt,Low,14.0741,2025-12-18,2025-12-19
122717,360 ONE Dynamic Bond Fund Direct Plan Quarterly Dividend,Debt,Low,22.6675,2025-12-18,2025-12-19
119533,Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,Debt,Low,117.6967,2025-12-18,2025-12-19
124832,Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW,Debt,Low,10.961,2025-12-18,2025-12-19
119532,Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW,Debt,Low,12.8122,2025-12-18,2025-12-19
119505,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,Debt,Low,50.7557,2025-12-18,2025-12-19
119503,Aditya Birla Sun Life Dynamic Bond Fund -DIRECT - MONTHLY IDCW,Debt,Low,11.1357,2025-12-18,2025-12-19
132918,Aditya Birla Sun Life Dynamic Bond Fund -Direct - IDCW,Debt,Low,13.5495,2025-12-18,2025-12-19
119502,Aditya Birla Sun Life Dynamic Bond Fund -Direct - Quarterly IDCW,Debt,Low,11.0817,2025-12-18,2025-12-19
146944,Aditya Birla Sun Life Retirement Fund-The 50s Plus-Debt Plan - Direct - Payout of IDCW,Debt,Low,11.8333,2025-12-18,2025-12-19
146943,Aditya Birla Sun Life Retirement Fund-The 50s Plus-Debt Plan-Direct Plan-Growth,Debt,Low,14.5498,2025-12-18,2025-12-19
152515,Axis CRISIL IBX SDL June 2034 Debt Index Fund - Direct Plan - Growth Option,Debt,Low,11.3393,2025-12-18,2025-12-19
152514,Axis CRISIL IBX SDL June 2034 Debt Index Fund - Direct Plan - IDCW Option,Debt,Low,11.3391,2025-12-18,2025-12-19
152887,Axis CRISIL-IBX AAA Bond NBFC - Jun 2027 Index Fund - Direct Plan - Growth Option,Debt,Low,11.0435,2025-12-18,2025-12-19
152888,Axis CRISIL-IBX AAA Bond NBFC - Jun 2027 Index Fund - Direct Plan - IDCW Option,Debt,Low,11.0434,2025-12-18,2025-12-19
153172,Axis CRISIL-IBX AAA Bond NBFC-HFC - Jun 2027 Index Fund - Direct Plan - Growth option,Debt,Low,10.8295,2025-12-18,2025-12-19
153173,Axis CRISIL-IBX AAA Bond NBFC-HFC - Jun 2027 Index Fund - Direct Plan - IDCW option,Debt,Low,10.8364,2025-12-18,2025-12-19
141586,Axis Corporate Bond Fund - Direct Plan - Daily IDCW,Debt,Low,10.2096,2025-12-18,2025-12-19
141590,Axis Corporate Bond Fund - Direct Plan - Monthly IDCW,Debt,Low,10.227,2025-12-18,2025-12-19
141591,Axis Corporate Bond Fund - Direct Plan - Regular IDCW,Debt,Low,14.528,2025-12-18,2025-12-19
141587,Axis Corporate Bond Fund - Direct Plan - Weekly IDCW,Debt,Low,10.3424,2025-12-18,2025-12-19
141588,Axis Corporate Bond Fund - Direct Plan Growth,Debt,Low,18.622,2025-12-18,2025-12-19
120451,Axis Dynamic Bond Fund - Direct Plan - Growth Option,Debt,Low,33.1946,2025-12-18,2025-12-19
120450,Axis Dynamic Bond Fund - Direct Plan - Half Yearly IDCW,Debt,Low,12.7995,2025-12-18,2025-12-19
120452,Axis Dynamic Bond Fund - Direct Plan - Quarterly IDCW,Debt,Low,11.321,2025-12-18,2025-12-19
150854,Axis Nifty SDL September 2026 Debt Index Fund - Direct Plan - Growth,Debt,Low,12.5233,2025-12-18,2025-12-19
150852,Axis Nifty SDL September 2026 Debt Index Fund - Direct Plan - IDCW,Debt,Low,12.5234,2025-12-18,2025-12-19
120475,Axis Strategic Bond Fund - Direct Plan - Growth Option,Debt,Low,31.8009,2025-12-18,2025-12-19
120474,Axis Strategic Bond Fund - Direct Plan - Half Yearly IDCW,Debt,Low,11.95,2025-12-18,2025-12-19
120476,Axis Strategic Bond Fund - Direct Plan - Quarterly IDCW,Debt,Low,10.5842,2025-12-18,2025-12-19
118404,BANDHAN Bond Fund - Medium Term Plan-Direct Plan-Fortnightly IDCW,Debt,Low,10.2659,2025-11-24,2025-12-19
139201,BANDHAN Corporate Bond Fund - Direct Annual IDCW,Debt,Low,10.7805,2025-12-18,2025-12-19
135916,BANDHAN Corporate Bond Fund - Direct Growth,Debt,Low,20.3141,2025-12-18,2025-12-19
139200,BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW,Debt,Low,11.6382,2025-12-18,2025-12-19
139198,BANDHAN Corporate Bond Fund - Direct Monthly IDCW,Debt,Low,10.3257,2025-12-18,2025-12-19
135917,BANDHAN Corporate Bond Fund - Direct Periodic IDCW,Debt,Low,13.477,2025-12-18,2025-12-19
139199,BANDHAN Corporate Bond Fund - Direct Quarterly IDCW,Debt,Low,10.7088,2025-12-18,2025-12-19
118415,BANDHAN Dynamic Bond Fund-Direct Plan-Annual IDCW,Debt,Low,11.8027,2025-12-18,2025-12-19
118416,BANDHAN Dynamic Bond Fund-Direct Plan-Growth,Debt,Low,37.9388,2025-12-18,2025-12-19
122618,BANDHAN Dynamic Bond Fund-Direct Plan-Half Yearly IDCW,Debt,Low,11.0345,2025-12-18,2025-12-19
118417,BANDHAN Dynamic Bond Fund-Direct Plan-IDCW,Debt,Low,16.2882,2025-12-18,2025-12-19
131396,BANDHAN Dynamic Bond Fund-Direct Plan-Periodic IDCW,Debt,Low,13.3028,2025-12-18,2025-12-19
118418,BANDHAN Dynamic Bond Fund-Direct Plan-Quarterly IDCW,Debt,Low,13.5004,2025-12-18,2025-12-19
150236,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option,Debt,Low,12.0513,2025-12-18,2025-12-19
150237,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option,Debt,Low,30.0656,2025-12-18,2025-12-19
150238,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option,Debt,Low,10.5964,2025-12-18,2025-12-19
150239,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option,Debt,Low,10.7546,2025-12-18,2025-12-19
150179,Baroda BNP Paribas Dynamic Bond Fund - Direct Plan - Daily IDCW Option,Debt,Low,10.0339,2025-12-18,2025-12-19
150180,Baroda BNP Paribas Dynamic Bond Fund - Direct Plan - Growth Option,Debt,Low,51.2013,2025-12-18,2025-12-19
150181,Baroda BNP Paribas Dynamic Bond Fund - Direct Plan - Half Yearly IDCW Option,Debt,Low,10.0,2024-06-28,2025-12-19
150182,Baroda BNP Paribas Dynamic Bond Fund - Direct Plan - Monthly IDCW Option,Debt,Low,10.5981,2025-12-18,2025-12-19
150183,Baroda BNP Paribas Dynamic Bond Fund - Direct Plan - Quarterly IDCW Option,Debt,Low,10.6306,2025-12-18,2025-12-19
150184,Baroda BNP Paribas Dynamic Bond Fund - Direct Plan - Weekly IDCW Option,Debt,Low,10.0157,2025-12-18,2025-12-19
126685,CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION,Debt,Low,23.8178,2025-12-18,2025-12-19
126686,CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),Debt,Low,12.363,2025-12-18,2025-12-19
