SchemeCode,SchemeName,Category,Risk_Level,NAV,NAV_As_Of_Date,Valuation_Date
119516,Aditya Birla Sun Life International Equity Fund - Direct - IDCW,Equity - International,High,50.0241,2025-12-19,2025-12-20
119517,Aditya Birla Sun Life International Equity Fund - Growth - Direct Plan,Equity - International,High,49.9945,2025-12-19,2025-12-20
106873,Aditya Birla Sun Life International Equity Fund - Growth - Regular Plan,Equity - International,High,46.2851,2025-12-19,2025-12-20
106872,Aditya Birla Sun Life International Equity Fund - Regular - IDCW,Equity - International,High,21.1864,2025-12-19,2025-12-20
119519,Aditya Birla Sun Life International Equity Fund - Plan B - Direct - IDCW,Equity - International,High,23.1342,2023-07-28,2025-12-20
119518,Aditya Birla Sun Life International Equity Fund - Plan B - Growth - Direct Plan,Equity - International,High,30.2806,2023-07-28,2025-12-20
106876,Aditya Birla Sun Life International Equity Fund - Plan B - Growth - Regular Plan,Equity - International,High,28.8036,2023-07-28,2025-12-20
106875,Aditya Birla Sun Life International Equity Fund - Plan B - Regular - IDCW,Equity - International,High,19.8371,2023-07-28,2025-12-20
132175,Aditya Birla Sun Life Aggressive Hybrid Omni FOF-  Regular -  IDCW,ETF / FoF,High,39.0244,2025-12-19,2025-12-20
132189,Aditya Birla Sun Life Aggressive Hybrid Omni FOF- Direct - IDCW,ETF / FoF,High,42.3585,2025-12-19,2025-12-20
132185,Aditya Birla Sun Life Aggressive Hybrid Omni FOF- Direct Plan - Growth Option,ETF / FoF,High,46.6376,2025-12-19,2025-12-20
132174,Aditya Birla Sun Life Aggressive Hybrid Omni FOF- Regular Plan - Growth Option,ETF / FoF,High,43.5088,2025-12-19,2025-12-20
132179,Aditya Birla Sun Life Conservative Hybrid Active FOF -Regular - IDCW,ETF / FoF,High,31.6262,2025-12-19,2025-12-20
132183,Aditya Birla Sun Life Conservative Hybrid Active FOF- Direct Plan - Growth Option,ETF / FoF,High,37.0209,2025-12-19,2025-12-20
132178,Aditya Birla Sun Life Conservative Hybrid Active FOF- Regular Plan - Growth Option,ETF / FoF,High,34.7621,2025-12-19,2025-12-20
132184,Aditya Birla Sun Life Conservative Hybrid Active FOF-Direct - IDCW,ETF / FoF,High,25.1364,2025-12-19,2025-12-20
132187,Aditya Birla Sun Life Dynamic Asset Allocation Omni FOF- Direct - IDCW,ETF / FoF,High,55.5384,2025-12-19,2025-12-20
132186,Aditya Birla Sun Life Dynamic Asset Allocation Omni FOF- Direct Plan - Growth Option,ETF / FoF,High,60.6436,2025-12-19,2025-12-20
132180,Aditya Birla Sun Life Dynamic Asset Allocation Omni FOF- Regular Plan - Growth Option,ETF / FoF,High,55.0175,2025-12-19,2025-12-20
132181,Aditya Birla Sun Life Dynamic Asset Allocation Omni FOF-Regular - IDCW,ETF / FoF,High,50.3605,2025-12-19,2025-12-20
120546,Aditya Birla Sun Life Gold Fund - Growth - Direct Plan,Commodity - Gold,High,40.0313,2025-12-19,2025-12-20
120545,Aditya Birla Sun Life Gold Fund-DIRECT - IDCW,Commodity - Gold,High,40.0302,2025-12-19,2025-12-20
116796,Aditya Birla Sun Life Gold Fund-Growth,Commodity - Gold,High,38.4616,2025-12-19,2025-12-20
116795,Aditya Birla Sun Life Gold Fund-REGULAR - IDCW,Commodity - Gold,High,38.4601,2025-12-19,2025-12-20
131897,Aditya Birla Sun Life Income Plus Arbitrage Active FOF- DIRECT - IDCW,ETF / FoF,High,25.4341,2025-12-19,2025-12-20
131898,Aditya Birla Sun Life Income Plus Arbitrage Active FOF- Direct Plan - Growth Option,ETF / FoF,High,40.6181,2025-12-19,2025-12-20
131895,Aditya Birla Sun Life Income Plus Arbitrage Active FOF- REGULAR - IDCW,ETF / FoF,High,24.0804,2025-12-19,2025-12-20
131896,Aditya Birla Sun Life Income Plus Arbitrage Active FOF- Regular Plan - Growth Option,ETF / FoF,High,38.3977,2025-12-19,2025-12-20
131865,Aditya Birla Sun Life Multi Asset Omni FoF- Direct Plan - Growth Option,ETF / FoF,High,38.871,2025-12-19,2025-12-20
131864,Aditya Birla Sun Life Multi Asset Omni FoF- Regular Plan - Growth Option,ETF / FoF,High,73.3629,2025-12-19,2025-12-20
131866,Aditya Birla Sun Life Multi Asset Omni FOF-DIRECT - IDCW,ETF / FoF,High,37.0398,2025-12-19,2025-12-20
131863,Aditya Birla Sun Life Multi Asset Omni FoF-REGULAR - IDCW,ETF / FoF,High,67.5562,2025-12-19,2025-12-20
150688,Aditya Birla Sun Life Multi-Asset Passive FOF-Direct Growth,ETF / FoF,High,17.2607,2025-12-19,2025-12-20
150689,Aditya Birla Sun Life Multi-Asset Passive FOF-Direct IDCW,ETF / FoF,High,17.2615,2025-12-19,2025-12-20
150690,Aditya Birla Sun Life Multi-Asset Passive FOF-Regular Growth,ETF / FoF,High,17.0723,2025-12-19,2025-12-20
150691,Aditya Birla Sun Life Multi-Asset Passive FOF-Regular IDCW,ETF / FoF,High,17.0724,2025-12-19,2025-12-20
149780,Aditya Birla Sun Life Silver ETF FOF-Direct Growth,Commodity - Silver,High,31.4748,2025-12-19,2025-12-20
