SchemeCode,NAV,NAV_Date
100033,905.17,2025-12-18
100034,131.83,2025-12-18
100037,13.0673,2025-12-18
100038,126.5067,2025-12-18
100041,108.023,2025-12-18
100042,701.0717,2025-12-18
100043,719.4446,2025-12-18
100044,163.694,2025-12-18
100046,100.195,2025-12-18
100047,432.0156,2025-12-18
100048,108.2777,2025-12-18
100051,100.3161,2025-12-18
100057,10.8661,2025-12-18
100058,80.2602,2025-12-18
100063,227.95,2025-12-18
100064,1319.84,2025-12-18
100077,11.8669,2025-12-18
100078,83.7941,2025-12-18
100079,11.1404,2025-12-18
100080,64.377,2025-12-18
100081,361.524,2025-12-18
100082,29.328,2025-12-18
100084,95.794,2025-12-18
100085,12.427,2025-12-18
100086,10.6162,2025-12-18
100087,54.1674,2025-12-18
100088,12.3692,2025-12-18
100089,10.988,2025-12-18
100119,528.991,2025-12-18
100120,38.723,2025-12-18
100123,11.4156,2025-12-18
100124,58.7033,2025-12-18
100174,51.9227,2025-12-18
100175,373.9176,2025-12-18
100176,197.3158,2025-12-18
100177,248.1153,2025-12-18
100218,30.394,2025-12-18
100219,156.5701,2025-12-18
100220,33.2807,2025-12-18
100221,118.991,2025-12-18
100222,21.4288,2025-12-18
100223,63.0248,2025-12-18
100233,11.0073,2025-12-18
100234,73.1274,2025-12-18
100244,41.3908,2025-12-18
100247,42.0426,2025-12-18
100254,94.7048,2025-12-18
100264,18.5379,2025-12-18
100265,94.8703,2025-12-18
100280,11.6916,2025-12-18
100281,97.0591,2025-12-18
100286,36.734,2025-12-18
100291,13.6554,2016-10-21
100292,42.9354,2016-10-21
100299,77.516,2025-12-18
100300,47.4917,2025-12-18
100312,31.6224,2025-12-18
100313,100.2099,2025-12-18
100314,16.0494,2025-12-18
100315,73.2195,2025-12-18
100316,16.9778,2025-12-18
100317,58.8996,2025-12-18
100318,22.0133,2025-12-18
100319,34.0183,2025-12-18
100321,15.9069,2025-12-18
100323,198.8082,2025-12-18
100325,36.2445,2025-12-18
100332,34.1916,2025-12-18
100348,30.28,2025-12-18
100349,1031.81,2025-12-18
100351,85.81,2025-12-18
100352,464.27,2025-12-18
100353,23.16,2025-12-18
100354,950.85,2025-12-18
100355,44.58,2025-12-18
100356,407.14,2025-12-18
100357,101.4288,2022-09-16
100359,118.5152,2020-04-24
100363,209.81,2025-12-18
100364,11.1771,2022-09-16
100365,90.1766,2025-12-18
100366,11.7562,2020-04-24
100367,12.3539,2025-12-18
100368,18.0353,2025-12-18
100369,104.6024,2025-12-18
100370,12.1349,2018-05-25
100371,43.635,2018-05-25
100372,11.2589,2018-05-25
100375,120.7716,2025-12-18
100376,692.1737,2025-12-18
100377,4157.916,2025-12-18
100378,66.6264,2025-12-18
100379,249.687,2025-12-18
100380,1482.4608,2025-12-18
100383,10.7975,2025-12-18
100384,13.2196,2025-12-18
100385,12.6278,2025-12-18
100386,13.1584,2025-12-18
100387,90.2646,2025-12-18
100388,25.9505,2025-12-18
100414,447.2214,2025-12-18
100415,386.2645,2025-12-18
100417,15.3414,2022-09-23
100418,66.614,2022-09-23
100470,48.7802,2025-12-18
100471,1057.731,2025-12-18
100472,93.7122,2025-12-18
100473,2760.2321,2025-12-18
100474,102.0235,2025-12-18
100475,518.0831,2025-12-18
100476,222.55,2025-12-18
100477,120.02,2025-12-18
100480,181.69,2025-12-18
100484,208.4647,2025-12-18
100493,59.3116,2025-12-18
100494,10.7387,2025-12-18
100496,735.356,2025-12-18
100497,105.2394,2025-12-18
100498,15.6675,2022-08-07
100499,94.788,2022-08-07
100503,15.0351,2022-08-07
100504,14.7667,2022-08-07
100519,68.105,2025-12-18
100520,1651.743,2025-12-18
100521,47.1211,2025-12-18
100522,546.7545,2025-12-18
100524,36.6264,2025-12-18
100525,67.3033,2025-12-18
100526,1484.8676,2025-12-18
100527,17.4994,2025-12-18
100528,102.509,2025-12-18
100529,15.3474,2025-12-18
100530,12.1926,2025-12-18
100531,12.6698,2025-12-18
100532,0.0,2015-06-08
100535,18.1321,2025-12-18
100536,220.4592,2025-12-18
100537,1244.9583,2025-12-18
100538,6053.3849,2025-12-18
100541,1509.2342,2025-12-18
100546,4036.9668,2025-12-18
100547,1000.0,2025-12-18
100548,1033.3101,2025-12-18
100549,29.2689,2025-12-18
100550,272.6008,2025-12-18
100593,48.6,2025-12-18
100596,15.2092,2025-12-18
100597,75.2684,2025-12-18
100600,12.8471,2025-12-18
100601,97.3757,2025-12-18
100602,13.3489,2025-12-18
100603,70.1688,2025-12-18
100604,23.6242,2025-06-27
100608,75.2476,2025-01-07
100609,13.5927,2025-06-27
100610,13.7426,2025-06-27
100614,17.2721,2025-12-18
100630,69.1375,2025-12-18
100631,604.5408,2025-12-18
100638,18.7386,2025-12-18
100639,71.6411,2025-12-18
100640,43.4081,2025-12-18
100641,6144.4557,2025-12-18
100643,139.2854,2025-12-18
100644,264.0948,2025-12-18
100645,184.2183,2025-12-18
100646,42.1256,2025-12-18
100650,55.404,2025-12-18
100651,281.1623,2025-12-18
100663,90.2187,2025-12-18
100664,185.1946,2025-12-18
100668,211.9309,2025-12-18
100669,320.5555,2025-12-18
100678,40.6508,2025-12-18
100682,50.6234,2025-12-18
100684,415.2942,2025-12-18
100685,42.5093,2025-12-18
100723,7344.0215,2025-12-18
100724,3962.7172,2025-12-18
100725,2607.3846,2025-12-18
100739,206.1867,2025-12-18
100740,399.9085,2025-12-18
100741,74.1193,2025-12-18
